"x53" "x54" "x55" "x56" "x57" "x58" "x59" "x60" "x61" "x62" "x63" "x64" "x65" "x66" "x67" "x68" "x69" "x70" "x71"
"Phialina.binucleata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Phialina.minima.n..comb." 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0
"Phialinides.australis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plagiocampa.bitricha" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plagiocampa.difficilis" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Plagiocampa.namibiensis.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plagiocampa.ovata" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Plagiocampa.pentadactyla.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Plagiocampa.rouxi" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Plagiocampides.halophilus.n..sp." 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0
"Platyophrya.binucleata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Platyophrya.macrostoma" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Platyophrya.paoletti" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Platyophrya.spumacola.hexasticha.n+B33..ssp." 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Platyophrya.spumacola.spumacola" 0 1 0 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0
"Platyophrya.vorax" 0 0 0 0 1 0 0 1 0 1 1 1 1 0 0 0 1 0 0
"Platyophryides.latus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Plesiocaryon.elongatum.n..comb." 1 1 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0
"Plesiocaryon.terricola.n..sp." 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pleuroplites.australis" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
"Pleuroplitoides.smithi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Podophrya.halophila" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"Protocyclidium.muscicola.n..comb." 1 1 0 1 1 0 0 1 0 0 1 0 1 1 0 0 0 1 0
"Protocyclidium.terricola.n..comb." 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0
"Protospathidium.namibicola.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Protospathidium.serpens" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0
"Pseudochilodonopsis.mutabilis" 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
"Pseudocohnilembus.binucleatus.n..sp." 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudocohnilembus.persalinus.hexakineta.n..ssp." 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 1 1 0 0
"Pseudocohnilembus.persalinus.persalinus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudocyrtolophosis.alpestris" 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0
"Pseudoholophrya.minuta.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudoholophrya.terricola" 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"Pseudokreyella.australis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudokreyella.etoschensis.n..sp." 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudomicrothorax.agilis" 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
"Pseudomicrothorax.dubius" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Pseudomonilicaryon.angustistoma.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudomonilicaryon.massutii.n..comb." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Pseudoplatyophrya.nana" 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Pseudoplatyophrya.saltans" 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0
"Pseudouroleptus.caudatus.namibiensis.n..ssp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudouroleptus.procerus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudourostyla.franzi" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
"Pseudovorticella.sphagni" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
"Reticulowoodruffia.terricola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rostrophrya.fenestrata.n..sp." 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rostrophrya.namibiensis.maldivensis.n..sp..n..ssp." 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0
"Rostrophrya.namibiensis.namibiensis.n..sp..n..ssp." 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Rostrophryides.africana.africana" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rostrophryides.africana.etoschensis.n..ssp." 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"Sagittaria.hyalina" 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Sathrophilus.muscorum" 1 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0
"Semiplatyophrya.acrostoma.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Semiplatyophrya.foissneri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Semispathidium.armatum.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Semispathidium.enchelyodontides.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sikorops.minor.n..sp." 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sikorops.namibiensis.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sorogena.stoianovitchae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spathidium.aciculare.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spathidium.anguilla" 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0
"Spathidium.bavariense" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spathidium.elaviforme" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Spathidium.contractile.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spathidium.etoschense.n..sp." 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spathidium.extensum" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spathidium.lanceoplites.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spathidium.namibicola.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spathidium.procerum" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spathidium.rusticanum" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"Spathidium.seppelti.etoschense.n..ssp." 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0
"Spathidium.spathula" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Spathidium.turgitorum.n..sp." 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sphaerophrya.terricola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Stammeridium.kahli" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sterkiella.cavicola" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sterkiella.histriomuscorum" 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0
"Supraspathidium.armatum.n..sp." 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Supraspathidium.etoschense.n..sp." 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
"Tachysoma.granulifera" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Tachysoma.humicola.humicola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tectohymena.terricola" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Terricirra.livida" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Terricirra.matsusakai" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Tetrahymena.rostrata" 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0
"Trachelophyllum.africanum.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Trachelophyllum.apiculatum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Trihymena.terricola" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Uroleptus.notanilis" 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Uroleptus.paranotabilis.n.sp." 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Urosoma.emarginata" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"Urosoma.karinae" 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
".Urosomoida.agiliformis" 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
".Urosomoida.agilis" 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
".Urosomoida.antarctica" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
".Urosomoida.deserticola.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
".Urosomoida.monostyla.n..sp." 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
".Urosomoida.namibiensis.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
".Urosomoida.reticulata.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vermoixytricha.arenicola.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vermoixytricha.muelleri" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Vorticella.astyluformis" 1 1 0 1 1 1 1 1 1 0 0 1 0 0 1 0 1 1 0
"Vorticella.echinie" 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Vorticella.infusionum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Wallackia.bujoreani" 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1
"Wallackia.elegans.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Wolfkosia.loeffleri.n..sp." 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Woodruffides.australis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Woodruffides.rostrata" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"Woodruffides.metabolicus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"Woodruffides.terricola" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
